epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1484.33,1.23058,1.20028,1.31189,0.8379,0.63078,0.75318,0.53265,1.25496,1.14788,1.34823,0.00104705,0.00104705,0.00104705
43,1518.61,1.20246,1.21587,1.31265,0.77927,0.63929,0.68596,0.54353,1.14684,1.25821,1.3226,0.0010421,0.0010421,0.0010421
44,1553.61,1.15637,1.08387,1.26366,0.85002,0.66803,0.79634,0.53827,1.23254,1.19034,1.41014,0.00103715,0.00103715,0.00103715
45,1589.05,1.25815,1.22083,1.3699,0.83754,0.66638,0.73111,0.52752,1.22621,1.14869,1.41153,0.0010322,0.0010322,0.0010322
46,1625.14,1.29191,1.25874,1.35093,0.69684,0.69103,0.74129,0.53156,1.2816,1.0959,1.35677,0.00102725,0.00102725,0.00102725
47,1658.81,1.15783,1.10997,1.26888,0.81748,0.72182,0.87787,0.56821,1.22129,0.90734,1.34587,0.0010223,0.0010223,0.0010223
48,1693.42,1.16686,1.11366,1.26891,0.88053,0.67682,0.80047,0.57108,1.2573,0.97402,1.38854,0.00101735,0.00101735,0.00101735
49,1728.2,1.18853,1.13773,1.2902,0.77733,0.75429,0.78872,0.58297,1.23711,1.04717,1.3133,0.0010124,0.0010124,0.0010124
50,1763.06,1.15604,1.06291,1.25956,0.76871,0.8668,0.8288,0.51102,1.25248,1.05471,1.32874,0.00100745,0.00100745,0.00100745
51,1797.61,1.24477,1.22499,1.3343,0.79621,0.79809,0.83549,0.53222,1.31528,0.95403,1.38475,0.0010025,0.0010025,0.0010025
52,1833.17,1.08764,1.05226,1.22889,0.92018,0.781,0.92027,0.60408,1.02926,0.97841,1.26618,0.00099755,0.00099755,0.00099755
53,1868.83,1.17377,1.08134,1.27312,0.7918,0.80091,0.86826,0.56964,1.10192,0.98829,1.33637,0.0009926,0.0009926,0.0009926
54,1905.54,1.13679,1.1215,1.27096,0.85647,0.74882,0.85594,0.58341,1.15005,0.96639,1.39436,0.00098765,0.00098765,0.00098765
55,1940.69,1.17522,1.03852,1.27834,0.91984,0.75764,0.86603,0.5801,1.18855,1.00504,1.39373,0.0009827,0.0009827,0.0009827
56,1976.49,1.13884,1.11604,1.28703,0.85466,0.6,0.72812,0.54491,1.15707,0.99843,1.35577,0.00097775,0.00097775,0.00097775
57,2011.35,1.08827,0.99883,1.23285,0.79865,0.79778,0.86107,0.53557,1.27164,0.94133,1.4062,0.0009728,0.0009728,0.0009728
58,2033.32,1.09206,1.04883,1.27256,0.79741,0.88908,0.89103,0.55416,1.33994,0.87743,1.43031,0.00096785,0.00096785,0.00096785
59,2055.01,1.15093,1.07917,1.29491,0.82241,0.88341,0.90414,0.57522,1.30144,0.89293,1.40252,0.0009629,0.0009629,0.0009629
60,2076.09,1.09647,0.99892,1.22527,0.92919,0.69233,0.83379,0.51368,1.36047,1.09575,1.45466,0.00095795,0.00095795,0.00095795
61,2097.54,1.13078,1.13493,1.29331,0.78483,0.69146,0.76971,0.54199,1.29205,1.03735,1.44035,0.000953,0.000953,0.000953
62,2118.94,1.08325,1.003,1.24699,0.86805,0.72681,0.78099,0.5776,1.29377,0.95601,1.39928,0.00094805,0.00094805,0.00094805
63,2139,1.13949,1.01523,1.24822,0.93936,0.71687,0.81586,0.60886,1.31045,0.98006,1.46551,0.0009431,0.0009431,0.0009431
64,2159.82,1.13041,0.9834,1.24705,0.86379,0.70276,0.77913,0.55316,1.30994,1.00793,1.43759,0.00093815,0.00093815,0.00093815
65,2182.22,1.10206,1.02708,1.25135,0.94404,0.7113,0.7663,0.55883,1.172,1.01884,1.37255,0.0009332,0.0009332,0.0009332
66,2205.22,1.03726,0.95891,1.19462,0.92917,0.72329,0.7866,0.58992,1.13926,0.99645,1.37465,0.00092825,0.00092825,0.00092825
67,2240.14,1.03532,0.91536,1.21219,0.90634,0.71174,0.75868,0.55129,1.32667,0.92129,1.46302,0.0009233,0.0009233,0.0009233
68,2276.94,1.10251,1.03545,1.24169,0.91611,0.6289,0.77457,0.55919,1.23261,0.98303,1.41875,0.00091835,0.00091835,0.00091835
69,2315.19,1.10087,0.97868,1.2552,0.82111,0.64278,0.78957,0.57656,1.18049,1.01921,1.3707,0.0009134,0.0009134,0.0009134
