epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30185,2.762,5.29397,2.43561,0.97332,0.0625,0.06362,0.0202,3.17043,5.7694,2.80804,3.75e-05,3.75e-05,3.75e-05
2,9.55333,2.7453,5.47233,2.49474,0.71202,0.0625,0.06388,0.0204,3.1741,5.81121,2.8123,8.69225e-05,8.69225e-05,8.69225e-05
3,11.9011,2.54737,4.44395,2.2621,0.00263,0.125,0.00513,0.00235,2.38169,7.3547,2.30152,0.000135685,0.000135685,0.000135685
4,14.1068,2.0839,3.39057,1.92458,0.25419,0.15381,0.15724,0.07374,2.2573,4.53545,2.19372,0.000183787,0.000183787,0.000183787
5,16.3557,1.93433,2.93655,1.76942,0.17264,0.22917,0.20016,0.08358,2.27997,3.89905,2.08094,0.00023123,0.00023123,0.00023123
6,18.6018,1.87069,2.77959,1.71773,0.16997,0.27083,0.19231,0.09097,2.16115,4.16833,1.98181,0.000278012,0.000278012,0.000278012
7,21.6498,1.90769,2.64939,1.68506,0.35944,0.41584,0.33775,0.15606,1.9343,5.1652,1.81166,0.000324135,0.000324135,0.000324135
8,25.7092,1.7321,2.52746,1.64072,0.52202,0.22917,0.24912,0.12766,2.28742,4.49539,2.03858,0.000369597,0.000369597,0.000369597
9,29.6861,1.66409,2.50424,1.59519,0.54752,0.22917,0.25696,0.12101,2.22844,3.70937,1.97,0.0004144,0.0004144,0.0004144
10,33.2133,1.63405,2.22558,1.49788,0.69357,0.20803,0.2726,0.14418,2.35181,3.35431,2.01495,0.000458542,0.000458542,0.000458542
11,36.639,1.67591,2.17596,1.52079,0.55504,0.29167,0.30715,0.16506,1.79783,4.65375,1.64628,0.000502025,0.000502025,0.000502025
12,40.362,1.6033,2.03497,1.44229,0.16727,0.51634,0.32668,0.16321,1.82519,4.1218,1.83841,0.000544848,0.000544848,0.000544848
13,44.0567,1.5734,2.02845,1.48304,0.60529,0.22917,0.29291,0.14471,2.0066,3.75517,1.98556,0.00058701,0.00058701,0.00058701
14,47.6398,1.55494,2.037,1.47118,0.81193,0.22917,0.25182,0.14074,1.94329,3.6224,1.89803,0.000628512,0.000628512,0.000628512
15,51.2413,1.48655,1.8425,1.4008,0.96615,0.14583,0.19584,0.11584,1.96632,3.33528,1.84078,0.000669355,0.000669355,0.000669355
16,54.7158,1.55723,1.89351,1.47097,0.88822,0.14583,0.22188,0.14257,2.02467,3.17859,2.00052,0.000709538,0.000709538,0.000709538
17,58.0329,1.47178,1.76533,1.39305,0.86487,0.20833,0.26733,0.15486,1.88731,3.95344,2.0097,0.00074906,0.00074906,0.00074906
18,61.466,1.43976,1.64146,1.3892,0.56001,0.54167,0.25937,0.10155,2.28002,3.48998,2.20444,0.000787922,0.000787922,0.000787922
19,64.9696,1.52455,1.83153,1.41086,0.44785,0.4375,0.38402,0.20412,2.44999,2.98124,2.32187,0.000826125,0.000826125,0.000826125
20,69.1754,1.44117,1.65168,1.40361,0.72287,0.39583,0.47434,0.23629,2.36705,2.35832,2.16215,0.000863668,0.000863668,0.000863668
21,73.0056,1.41726,1.64929,1.3875,0.43103,0.52083,0.4577,0.22822,2.01839,2.25682,2.0742,0.00090055,0.00090055,0.00090055
22,76.7607,1.34978,1.39202,1.31897,0.55124,0.52083,0.39937,0.20412,2.19657,2.06645,2.10366,0.000936772,0.000936772,0.000936772
23,80.4109,1.36156,1.4669,1.36031,0.44462,0.58333,0.53748,0.31647,2.05802,1.92701,2.02074,0.000972335,0.000972335,0.000972335
24,83.87,1.35658,1.47889,1.35914,0.29467,0.48514,0.36041,0.22855,2.1785,2.78381,2.13644,0.00100724,0.00100724,0.00100724
25,87.6152,1.44288,1.53613,1.35899,0.19808,0.5,0.38094,0.23461,2.22424,2.78849,2.33006,0.00104148,0.00104148,0.00104148
26,91.0027,1.34091,1.46192,1.28699,0.10171,0.375,0.19171,0.11737,2.05519,2.89813,2.11304,0.00104375,0.00104375,0.00104375
27,94.3478,1.36657,1.46171,1.33376,0.1167,0.125,0.15071,0.071,2.28311,3.20704,2.2502,0.0010355,0.0010355,0.0010355
28,98.1221,1.32854,1.32035,1.32427,0.15491,0.27083,0.15819,0.06301,2.46951,3.76126,2.26945,0.00102725,0.00102725,0.00102725
29,101.736,1.37994,1.4409,1.31727,0.38136,0.30989,0.19466,0.08494,2.27423,4.18089,2.22332,0.001019,0.001019,0.001019
30,105.314,1.38782,1.36865,1.3295,0.45022,0.25,0.18549,0.09002,2.22192,3.73735,2.10547,0.00101075,0.00101075,0.00101075
31,108.948,1.29303,1.30876,1.25832,0.65797,0.27083,0.28084,0.1492,2.14444,3.27846,1.97806,0.0010025,0.0010025,0.0010025
32,112.666,1.35034,1.31668,1.27184,0.83198,0.37915,0.42206,0.20094,2.03631,2.99529,2.01042,0.00099425,0.00099425,0.00099425
33,116.49,1.24063,1.1699,1.25302,0.94128,0.41667,0.46757,0.24231,1.94227,2.33434,1.97229,0.000986,0.000986,0.000986
34,120.043,1.32447,1.29176,1.31423,0.89584,0.41667,0.4509,0.20881,2.13221,2.3007,2.14294,0.00097775,0.00097775,0.00097775
35,123.834,1.29069,1.3025,1.28687,0.75961,0.27083,0.33088,0.17002,2.10409,1.98455,2.19121,0.0009695,0.0009695,0.0009695
36,127.733,1.22768,1.28098,1.29603,0.71878,0.27083,0.34633,0.17854,2.1337,2.60745,2.06759,0.00096125,0.00096125,0.00096125
37,131.567,1.18859,1.21189,1.22934,0.38655,0.34833,0.35901,0.17506,1.95266,4.05082,1.77371,0.000953,0.000953,0.000953
38,135.094,1.30316,1.28996,1.3252,0.30648,0.35417,0.34848,0.19128,1.9069,3.29092,1.73675,0.00094475,0.00094475,0.00094475
39,138.714,1.23303,1.23031,1.21438,0.7367,0.27083,0.31299,0.19099,2.02229,2.38415,1.91585,0.0009365,0.0009365,0.0009365
40,142.278,1.26259,1.14458,1.26536,0.30908,0.41173,0.34242,0.17351,1.96571,2.52901,1.84564,0.00092825,0.00092825,0.00092825
41,145.913,1.32249,1.2176,1.32245,0.37348,0.36863,0.31398,0.14383,1.94388,2.88483,1.70736,0.00092,0.00092,0.00092
42,148.722,1.20996,1.11562,1.20228,0.2381,0.22917,0.24293,0.13665,2.01286,2.73403,2.0018,0.00091175,0.00091175,0.00091175
43,151.192,1.21707,1.12724,1.29879,0.29958,0.20833,0.29589,0.18141,2.2427,2.69157,2.09016,0.0009035,0.0009035,0.0009035
44,153.408,1.19602,1.15721,1.26726,0.86114,0.20833,0.31974,0.16284,2.1504,2.28144,2.04307,0.00089525,0.00089525,0.00089525
45,155.71,1.12235,1.02879,1.16891,0.60123,0.20833,0.31445,0.17936,2.12051,2.37359,2.03998,0.000887,0.000887,0.000887
46,157.945,1.11764,1.02201,1.19307,0.25714,0.47917,0.26218,0.14678,1.99227,2.31836,2.04125,0.00087875,0.00087875,0.00087875
47,160.136,1.17341,1.13206,1.23809,0.15897,0.35417,0.22179,0.12038,1.86063,3.03839,1.8216,0.0008705,0.0008705,0.0008705
