epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,845.92,1.35652,1.54336,1.4368,0.58778,0.62456,0.61452,0.32032,1.51758,1.50721,1.77772,0.000996313,0.000996313,0.000996313
43,868.267,1.372,1.57523,1.44403,0.61221,0.54873,0.53863,0.30499,1.87661,1.57897,2.09556,0.000990125,0.000990125,0.000990125
44,891.09,1.33338,1.5179,1.39219,0.80546,0.47705,0.55073,0.33666,1.94335,1.6428,2.10751,0.000983938,0.000983938,0.000983938
45,914.658,1.31445,1.52883,1.41084,0.79661,0.64583,0.68242,0.36047,1.89035,1.52103,2.00471,0.00097775,0.00097775,0.00097775
46,932.432,1.37275,1.60851,1.42626,0.72734,0.56582,0.70626,0.36426,1.7788,1.43774,1.89651,0.000971562,0.000971562,0.000971562
47,946.503,1.33202,1.5806,1.40214,0.68771,0.5901,0.66167,0.37487,1.5882,1.54947,1.75438,0.000965375,0.000965375,0.000965375
48,968.011,1.2625,1.4752,1.30474,0.73242,0.60417,0.62318,0.35114,1.60071,1.56682,1.8769,0.000959187,0.000959187,0.000959187
49,990.464,1.29506,1.40086,1.36189,0.78174,0.62201,0.67598,0.33235,1.74931,1.60475,2.14108,0.000953,0.000953,0.000953
50,1012.11,1.24502,1.4975,1.34365,0.72659,0.69155,0.70114,0.32638,1.78847,1.72846,2.06969,0.000946812,0.000946812,0.000946812
51,1034.67,1.30768,1.46317,1.38215,0.77211,0.63886,0.68836,0.37096,1.64081,1.39467,1.83835,0.000940625,0.000940625,0.000940625
52,1057.64,1.23494,1.38688,1.34307,0.79161,0.63241,0.67124,0.36863,1.57505,1.333,1.84729,0.000934438,0.000934438,0.000934438
53,1080.84,1.22211,1.43428,1.32861,0.76852,0.63244,0.65412,0.35272,1.62856,1.29031,1.93692,0.00092825,0.00092825,0.00092825
54,1103.44,1.27966,1.42905,1.34269,0.81376,0.64486,0.71652,0.39543,1.70491,1.24959,1.9978,0.000922063,0.000922063,0.000922063
55,1125.44,1.22079,1.31507,1.31818,0.78807,0.61986,0.64985,0.37536,1.73225,1.2138,2.02882,0.000915875,0.000915875,0.000915875
56,1148.73,1.17069,1.31896,1.3217,0.74374,0.61929,0.65976,0.39795,1.79232,1.29607,2.03476,0.000909688,0.000909688,0.000909688
57,1172.02,1.19424,1.28256,1.28953,0.79452,0.53648,0.6485,0.4574,1.62854,1.22882,1.97704,0.0009035,0.0009035,0.0009035
58,1194.6,1.25159,1.42667,1.33886,0.64874,0.6206,0.5992,0.39358,1.54892,1.33868,1.8399,0.000897313,0.000897313,0.000897313
59,1216.76,1.21677,1.29597,1.30183,0.5928,0.55484,0.55059,0.34077,1.51764,1.33475,1.7416,0.000891125,0.000891125,0.000891125
60,1229.78,1.17718,1.31501,1.2923,0.62518,0.63474,0.58171,0.3937,1.4818,1.24761,1.72457,0.000884938,0.000884938,0.000884938
61,1243.19,1.13857,1.24958,1.27091,0.79827,0.64366,0.68574,0.45039,1.76743,1.22029,1.87286,0.00087875,0.00087875,0.00087875
62,1261,1.16452,1.2873,1.27963,0.80122,0.62246,0.65952,0.44331,1.73627,1.20093,1.86277,0.000872563,0.000872563,0.000872563
63,1283.37,1.14592,1.2823,1.28131,0.67763,0.64583,0.6531,0.40651,1.69728,1.12783,2.04439,0.000866375,0.000866375,0.000866375
64,1306.38,1.18353,1.23908,1.277,0.63793,0.6332,0.65037,0.40641,1.63185,1.11139,2.0351,0.000860188,0.000860188,0.000860188
65,1329,1.12541,1.28478,1.28923,0.68988,0.64583,0.61593,0.37939,1.73745,1.15924,2.07184,0.000854,0.000854,0.000854
66,1352.18,1.18755,1.18065,1.29375,0.61276,0.64583,0.58572,0.34783,1.77976,1.20317,2.06007,0.000847813,0.000847813,0.000847813
67,1374.75,1.21391,1.23731,1.32168,0.64587,0.62695,0.66577,0.37324,1.7151,1.21593,2.08174,0.000841625,0.000841625,0.000841625
68,1397.33,1.10668,1.17687,1.25565,0.67522,0.60395,0.63122,0.31639,1.79194,1.26173,2.0625,0.000835438,0.000835438,0.000835438
69,1420.66,1.19253,1.27842,1.28489,0.76888,0.56799,0.64228,0.32852,1.98844,1.49581,2.00646,0.00082925,0.00082925,0.00082925
70,1443.55,1.12847,1.25251,1.28436,0.76216,0.57038,0.66087,0.31267,1.8842,1.47426,1.8616,0.000823063,0.000823063,0.000823063
71,1461.28,1.09967,1.1795,1.27989,0.59925,0.63027,0.66099,0.41357,1.66442,1.3244,1.72391,0.000816875,0.000816875,0.000816875
72,1482.64,1.12138,1.15668,1.23579,0.68667,0.70549,0.69626,0.47648,1.42977,1.26002,1.59091,0.000810688,0.000810688,0.000810688
73,1505.71,1.07126,1.09154,1.2074,0.77341,0.52083,0.61014,0.4026,1.42328,1.26338,1.72633,0.0008045,0.0008045,0.0008045
74,1526.15,1.06204,1.14444,1.25555,0.65027,0.68478,0.69947,0.40484,1.53134,1.24035,1.85785,0.000798313,0.000798313,0.000798313
75,1548.07,1.03403,1.07263,1.19407,0.69509,0.53295,0.64068,0.2969,1.72348,1.36228,2.15047,0.000792125,0.000792125,0.000792125
76,1570.83,1.05519,1.11039,1.21237,0.65756,0.48853,0.62702,0.32845,1.74042,1.30976,1.97855,0.000785938,0.000785938,0.000785938
77,1593.5,1.10138,1.10083,1.21728,0.74252,0.63989,0.75541,0.38924,1.61625,1.30724,1.7847,0.00077975,0.00077975,0.00077975
78,1616.46,1.07639,1.13628,1.22062,0.71884,0.71457,0.74903,0.41182,1.57986,1.28409,1.73942,0.000773563,0.000773563,0.000773563
79,1638.82,1.09632,1.0898,1.26687,0.65586,0.64583,0.59956,0.32687,1.70641,1.45741,1.83779,0.000767375,0.000767375,0.000767375
80,1661.21,1.05917,1.10457,1.24297,0.65407,0.63599,0.59937,0.35815,1.71692,1.49142,1.86137,0.000761188,0.000761188,0.000761188
81,1683.4,1.0293,1.01867,1.19365,0.60228,0.63629,0.59376,0.33621,1.6832,1.28475,1.93517,0.000755,0.000755,0.000755
82,1699.87,1.08489,1.0722,1.23694,0.64142,0.63548,0.60934,0.33705,1.81594,1.31709,2.04436,0.000748813,0.000748813,0.000748813
83,1712.82,1.08994,1.12712,1.26006,0.69903,0.64583,0.63662,0.39465,1.68089,1.29266,1.93148,0.000742625,0.000742625,0.000742625
84,1726.29,1.04481,1.12977,1.19135,0.89083,0.63469,0.66699,0.41714,1.51385,1.31833,1.77557,0.000736438,0.000736438,0.000736438
85,1739.64,1.0746,1.00391,1.22002,0.91267,0.64583,0.64948,0.41387,1.48286,1.35559,1.68248,0.00073025,0.00073025,0.00073025
86,1753.08,0.97854,0.95399,1.20165,0.83535,0.64583,0.66409,0.41712,1.57956,1.38615,1.75018,0.000724062,0.000724062,0.000724062
87,1766.27,1.03768,1.16425,1.23358,0.77245,0.5625,0.59111,0.35061,1.65832,1.44717,1.86941,0.000717875,0.000717875,0.000717875
88,1780.02,1.06418,1.04708,1.21967,0.73089,0.5625,0.58537,0.34621,1.63035,1.36263,1.85701,0.000711687,0.000711687,0.000711687
89,1802.05,1.04863,1.10668,1.2116,0.638,0.57292,0.6349,0.3445,1.72599,1.3038,2.0501,0.0007055,0.0007055,0.0007055
90,1824.52,1.03794,0.97345,1.20257,0.69439,0.64583,0.64055,0.36936,1.70884,1.38893,2.05984,0.000699312,0.000699312,0.000699312
91,1846.79,0.95365,0.95659,1.15328,0.67705,0.58593,0.63734,0.33439,1.78346,1.56503,2.13505,0.000693125,0.000693125,0.000693125
92,1869.2,1.04054,1.11052,1.24303,0.77056,0.5625,0.63743,0.32531,1.81541,1.73701,2.13271,0.000686937,0.000686937,0.000686937
93,1892.11,0.99895,1.00991,1.21695,0.80238,0.71189,0.73551,0.38854,1.72342,1.7418,2.10033,0.00068075,0.00068075,0.00068075
94,1913.55,1.00867,1.03884,1.22852,0.81031,0.72917,0.70659,0.39022,1.73998,1.42284,2.07364,0.000674562,0.000674562,0.000674562
95,1935.97,0.96818,0.93781,1.15214,0.68854,0.64583,0.59299,0.33445,1.76791,1.24534,2.10363,0.000668375,0.000668375,0.000668375
96,1958.72,0.91851,0.93332,1.15049,0.69918,0.64583,0.59066,0.33397,1.69716,1.23224,1.99077,0.000662188,0.000662188,0.000662188
97,1981.33,0.91585,0.94853,1.16667,0.63132,0.64016,0.65809,0.41013,1.52972,1.13467,1.77844,0.000656,0.000656,0.000656
98,1994.66,0.9936,1.01379,1.22142,0.61518,0.63757,0.68673,0.43749,1.54969,1.08259,1.80601,0.000649813,0.000649813,0.000649813
99,2008.24,0.93552,0.86045,1.128,0.6608,0.64583,0.62372,0.34565,1.67701,1.13317,2.09942,0.000643625,0.000643625,0.000643625
100,2022.18,0.99151,1.02655,1.18473,0.67979,0.64583,0.66088,0.35774,1.63457,1.23936,2.09776,0.000637437,0.000637437,0.000637437
101,2044.9,0.92141,0.89811,1.13453,0.72826,0.64583,0.64327,0.3871,1.5289,1.19726,1.84241,0.00063125,0.00063125,0.00063125
102,2068.31,0.94561,0.87847,1.12805,0.77299,0.64583,0.64759,0.42698,1.4394,1.23565,1.74128,0.000625062,0.000625062,0.000625062
103,2090.38,0.8795,0.9035,1.14641,0.81124,0.72917,0.72531,0.46694,1.38895,1.22745,1.66333,0.000618875,0.000618875,0.000618875
104,2112.88,0.89324,0.90059,1.16396,0.72844,0.64583,0.63877,0.45886,1.38962,1.16575,1.67649,0.000612687,0.000612687,0.000612687
105,2135.65,0.99122,0.98349,1.20502,0.69619,0.64281,0.60519,0.43132,1.41638,1.10266,1.71171,0.0006065,0.0006065,0.0006065
106,2158.45,0.87804,0.85045,1.13563,0.6626,0.63857,0.61101,0.40516,1.46895,1.22661,1.72993,0.000600313,0.000600313,0.000600313
