epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0368,2.30764,3.45993,2.31947,0.1146,0.13306,0.04928,0.01597,2.70266,4.02192,2.61518,0.000404412,0.000404412,0.000404412
2,80.7253,2.0984,2.92079,2.14125,0.12673,0.18069,0.07934,0.02712,2.56374,4.0359,2.37434,0.000817827,0.000817827,0.000817827
3,121.21,2.10168,2.97812,2.17924,0.0491,0.11875,0.02993,0.00934,2.89451,4.82502,2.89077,0.00122794,0.00122794,0.00122794
4,161.915,2.09379,2.77633,2.18027,0.09093,0.12181,0.01462,0.00308,3.07076,9.753,3.38058,0.00123515,0.00123515,0.00123515
5,202.87,2.08232,2.66506,2.16545,0.37502,0.14472,0.09818,0.02331,2.92397,6.16889,2.88804,0.0012302,0.0012302,0.0012302
6,242.287,2.10259,2.69562,2.25548,0.15902,0.1675,0.07921,0.02263,2.7978,4.27675,2.71165,0.00122525,0.00122525,0.00122525
7,282.078,2.09526,2.65819,2.24155,0.17342,0.32056,0.09025,0.02385,2.93832,4.06975,2.82835,0.0012203,0.0012203,0.0012203
8,322.252,2.06702,2.50863,2.21154,0.23234,0.27,0.13968,0.04559,2.85559,3.17751,2.75153,0.00121535,0.00121535,0.00121535
9,361.836,2.12321,2.54621,2.21994,0.18113,0.32525,0.13412,0.04918,2.66462,4.82661,2.55045,0.0012104,0.0012104,0.0012104
10,401.055,1.98859,2.4441,2.09935,0.15192,0.28047,0.08024,0.02017,3.12244,3.4962,2.71887,0.00120545,0.00120545,0.00120545
11,439.998,1.9972,2.34199,2.13184,0.22112,0.3925,0.15417,0.04722,2.82035,2.79426,2.60164,0.0012005,0.0012005,0.0012005
12,478.593,2.04471,2.43388,2.1545,0.25686,0.31847,0.17691,0.0551,2.85267,2.81236,2.54747,0.00119555,0.00119555,0.00119555
13,519.221,2.08303,2.38267,2.17089,0.2203,0.30583,0.17576,0.05262,3.00037,2.80154,2.73557,0.0011906,0.0011906,0.0011906
14,558.132,1.99392,2.36536,2.1081,0.19317,0.23125,0.17408,0.05034,2.52455,2.84044,2.49748,0.00118565,0.00118565,0.00118565
15,596.796,1.97955,2.33361,2.11055,0.25351,0.33089,0.21497,0.06555,2.52519,2.53898,2.45206,0.0011807,0.0011807,0.0011807
16,635.601,1.98699,2.35394,2.11905,0.22674,0.27264,0.16935,0.05238,2.64867,2.79619,2.61345,0.00117575,0.00117575,0.00117575
17,674.159,1.98755,2.35634,2.09567,0.19815,0.37208,0.17304,0.06582,2.47674,2.73566,2.43598,0.0011708,0.0011708,0.0011708
18,714.108,1.97166,2.41538,2.11142,0.28671,0.29524,0.20313,0.07393,2.49783,2.59473,2.5843,0.00116585,0.00116585,0.00116585
19,758.699,1.92268,2.3585,2.06068,0.2708,0.39986,0.21815,0.07464,2.46803,2.55885,2.40611,0.0011609,0.0011609,0.0011609
20,807.317,1.87606,2.26035,2.01805,0.26518,0.37604,0.22712,0.07907,2.3682,2.62567,2.33995,0.00115595,0.00115595,0.00115595
21,853.849,1.89687,2.31123,2.04654,0.21631,0.45825,0.20451,0.08081,2.47855,2.57525,2.31893,0.001151,0.001151,0.001151
22,914.679,1.86311,2.28573,2.04948,0.29487,0.35791,0.20088,0.07457,2.35176,2.68787,2.31302,0.00114605,0.00114605,0.00114605
23,985.059,1.86605,2.26762,2.02909,0.26668,0.42181,0.22772,0.07468,2.46577,2.628,2.41502,0.0011411,0.0011411,0.0011411
24,1055.71,1.88758,2.24106,2.03533,0.26648,0.37858,0.21251,0.0708,2.51065,2.49776,2.32502,0.00113615,0.00113615,0.00113615
