epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0769,2.19185,3.32307,2.123,0.27121,0.23782,0.17835,0.06004,2.43185,6.65712,2.2318,0.0807824,0.000194118,0.000194118
2,146.168,1.9701,2.6321,1.92373,0.30378,0.31764,0.24204,0.09159,2.44381,4.44232,2.25606,0.0609808,0.000392541,0.000392541
3,215.979,1.98464,2.53369,1.91841,0.43409,0.45901,0.39645,0.16086,2.38841,4.21373,2.42276,0.0411776,0.000589365,0.000589365
4,285.127,1.87968,2.32266,1.84076,0.43757,0.49879,0.45418,0.21719,2.116,3.88914,2.01441,0.0213728,0.000784588,0.000784588
5,357.135,1.88143,2.24088,1.82421,0.6502,0.38412,0.45878,0.20909,2.18259,3.07872,2.12152,0.00156645,0.000978212,0.000978212
6,426.672,1.89489,2.18729,1.87218,0.57024,0.45097,0.45124,0.20401,2.10282,3.0114,1.98022,0.00098,0.00098,0.00098
7,495.244,1.82598,2.12091,1.7929,0.57815,0.42444,0.49989,0.22528,2.15033,2.30724,1.99701,0.000976,0.000976,0.000976
8,565.436,1.7907,2.0002,1.75151,0.56781,0.55877,0.53819,0.23571,2.12273,2.15448,1.97891,0.000972,0.000972,0.000972
9,636.408,1.79592,2.0204,1.76639,0.51255,0.59514,0.53535,0.21784,2.17118,2.19052,1.9573,0.000968,0.000968,0.000968
10,705.72,1.69454,1.88899,1.69879,0.66387,0.57276,0.574,0.24308,2.18029,2.06521,1.99055,0.000964,0.000964,0.000964
11,775.084,1.72654,1.84421,1.72026,0.71079,0.52385,0.57544,0.2751,1.9265,1.93719,1.83972,0.00096,0.00096,0.00096
12,842.878,1.74357,1.85019,1.71195,0.56159,0.51272,0.54019,0.25185,1.99466,1.99087,1.79931,0.000956,0.000956,0.000956
13,915.3,1.77683,1.86557,1.72937,0.70256,0.53161,0.61301,0.29009,1.93582,1.91228,1.71964,0.000952,0.000952,0.000952
14,989.298,1.68514,1.80357,1.68226,0.61597,0.54775,0.60646,0.27656,2.01894,1.90762,1.84423,0.000948001,0.000948001,0.000948001
15,1042.2,1.66924,1.76317,1.64932,0.71973,0.53657,0.57839,0.27207,2.10062,1.78651,1.81133,0.000944001,0.000944001,0.000944001
16,1083.59,1.67022,1.69572,1.65507,0.62486,0.58332,0.64247,0.32648,1.94492,1.74255,1.70443,0.000940001,0.000940001,0.000940001
17,1125.06,1.65864,1.68337,1.63762,0.6397,0.60674,0.62523,0.31267,2.04136,1.98402,1.75395,0.000936001,0.000936001,0.000936001
