epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4602,2.23219,3.36515,2.15645,0.37334,0.26178,0.23981,0.09752,2.24635,3.12163,1.96196,0.0807077,0.000194872,0.000194872
2,125.892,1.99989,2.65228,1.91571,0.47452,0.38733,0.3624,0.15389,1.9611,4.5909,1.84554,0.0609061,0.000393292,0.000393292
3,199.021,1.94997,2.4395,1.86868,0.48562,0.45648,0.44942,0.21555,1.80902,2.82294,1.73968,0.0411029,0.000590113,0.000590113
4,270.131,1.9405,2.36169,1.86722,0.46425,0.58437,0.50516,0.2779,1.75965,2.37183,1.7525,0.0212982,0.000785333,0.000785333
5,342.315,1.89362,2.22025,1.83302,0.64094,0.49116,0.5394,0.24548,1.982,2.17212,1.81358,0.00149177,0.000978954,0.000978954
6,415.137,1.93343,2.19464,1.87034,0.52548,0.50326,0.49318,0.23449,1.71463,1.91834,1.75454,0.00098,0.00098,0.00098
7,489.157,1.84736,2.057,1.78742,0.66657,0.55687,0.59655,0.2959,1.82708,2.00623,1.78897,0.000976,0.000976,0.000976
8,561.604,1.82756,2.11614,1.80314,0.55265,0.55366,0.57768,0.28424,1.75845,1.88689,1.74625,0.000972,0.000972,0.000972
9,632.094,1.82113,1.99467,1.78277,0.65306,0.58566,0.64048,0.29779,1.93382,1.7416,1.81821,0.000968,0.000968,0.000968
10,704.62,1.78377,1.9391,1.75591,0.56558,0.597,0.64999,0.32694,1.75548,1.71019,1.69323,0.000964,0.000964,0.000964
11,776.135,1.75528,1.85843,1.7405,0.65747,0.61518,0.65419,0.31538,1.77259,1.63874,1.68757,0.00096,0.00096,0.00096
12,847.604,1.76096,1.82957,1.71612,0.5552,0.64188,0.64787,0.30978,1.78829,1.59041,1.67336,0.000956,0.000956,0.000956
13,920.007,1.71646,1.7992,1.67999,0.69787,0.59183,0.68412,0.32449,1.81198,1.58038,1.68567,0.000952,0.000952,0.000952
14,995.198,1.72239,1.85492,1.6994,0.7865,0.5608,0.66634,0.30742,1.92723,1.54868,1.73119,0.000948001,0.000948001,0.000948001
15,1067.85,1.71865,1.81137,1.69362,0.66222,0.54265,0.62525,0.30398,1.84026,1.56907,1.76403,0.000944001,0.000944001,0.000944001
16,1140.16,1.70935,1.76563,1.68608,0.60455,0.68557,0.66159,0.32586,1.72915,1.49377,1.63799,0.000940001,0.000940001,0.000940001
17,1213.14,1.67898,1.74433,1.66868,0.71796,0.6217,0.6923,0.33557,1.82478,1.51196,1.72646,0.000936001,0.000936001,0.000936001
18,1285.23,1.68718,1.70927,1.6733,0.81589,0.59072,0.7117,0.32928,1.81326,1.51971,1.68872,0.000932001,0.000932001,0.000932001
19,1358,1.68614,1.74946,1.6506,0.7123,0.56344,0.68411,0.34132,1.74652,1.51635,1.62361,0.000928001,0.000928001,0.000928001
20,1430.93,1.64631,1.65765,1.62507,0.8217,0.53634,0.66328,0.34376,1.68849,1.48053,1.60489,0.000924001,0.000924001,0.000924001
21,1502.9,1.59306,1.59762,1.58602,0.68461,0.68118,0.72425,0.37088,1.72329,1.40752,1.59714,0.000920001,0.000920001,0.000920001
22,1574.14,1.59299,1.68368,1.61096,0.69393,0.60083,0.69548,0.32958,1.79365,1.49411,1.6378,0.000916001,0.000916001,0.000916001
23,1645.09,1.57696,1.56303,1.58914,0.66688,0.64532,0.66916,0.3454,1.81638,1.46524,1.67991,0.000912001,0.000912001,0.000912001
24,1715.69,1.62242,1.6244,1.60099,0.73221,0.58892,0.68587,0.36419,1.66038,1.42272,1.5879,0.000908001,0.000908001,0.000908001
25,1787.42,1.54772,1.57832,1.55116,0.71741,0.60143,0.67593,0.34048,1.72641,1.42115,1.58454,0.000904001,0.000904001,0.000904001
26,1859.37,1.56492,1.56212,1.56005,0.71995,0.52668,0.66294,0.33802,1.73928,1.43761,1.58878,0.000900001,0.000900001,0.000900001
27,1933.37,1.56967,1.54645,1.5621,0.61967,0.62513,0.66657,0.35551,1.69375,1.3752,1.56841,0.000896001,0.000896001,0.000896001
28,2005.01,1.55785,1.53727,1.55418,0.70655,0.65572,0.72491,0.38153,1.64568,1.31654,1.52501,0.000892001,0.000892001,0.000892001
29,2078.37,1.54879,1.51157,1.56176,0.66227,0.63915,0.69334,0.36466,1.68204,1.39744,1.55514,0.000888001,0.000888001,0.000888001
30,2150.46,1.5193,1.45651,1.51874,0.69767,0.63863,0.72183,0.39688,1.61537,1.36952,1.52191,0.000884001,0.000884001,0.000884001
