epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0651,2.42639,6.30277,2.4343,0.60513,0.125,0.07625,0.03598,1.75243,10.5362,2.04944,0.0002875,0.0002875,0.0002875
2,32.091,2.01003,3.90768,2.03269,0.68491,0.27083,0.1764,0.11595,2.12263,8.77474,2.39276,0.000584592,0.000584592,0.000584592
3,46.1838,1.88269,3.43969,1.88071,0.10501,0.64583,0.26086,0.06933,1.69358,55.8798,2.01368,0.000878714,0.000878714,0.000878714
4,65.2395,1.99743,3.69508,1.94618,0.00827,0.47917,0.03339,0.01045,2.51303,9.55339,2.52393,0.00116987,0.00116987,0.00116987
5,87.8237,1.90892,3.49341,1.85883,0.34628,0.29167,0.24402,0.0863,2.01837,38.0948,3.18638,0.00122525,0.00122525,0.00122525
6,112.169,1.95242,3.20107,1.88357,0.28136,0.47917,0.04479,0.01167,2.01574,8.12396,2.45489,0.00121906,0.00121906,0.00121906
7,132.545,1.96972,3.38795,2.00626,0.86852,0.08333,0.10411,0.04782,1.91594,4.29237,2.46321,0.00121287,0.00121287,0.00121287
8,146.816,1.90821,3.01785,1.93837,0.61207,0.08333,0.15056,0.06332,2.11695,4.09686,2.52054,0.00120669,0.00120669,0.00120669
9,161.179,1.98758,2.99788,1.95696,0.19124,0.6384,0.23052,0.12438,2.00183,3.34452,2.1927,0.0012005,0.0012005,0.0012005
10,175.019,1.90334,2.87499,1.81334,0.31997,0.29167,0.29156,0.08373,2.1197,6.04263,2.52621,0.00119431,0.00119431,0.00119431
11,188.146,1.84025,2.89051,1.80302,0.16718,0.3125,0.21434,0.10391,1.76954,2.80403,2.07564,0.00118812,0.00118812,0.00118812
12,208.739,1.80383,2.81836,1.76001,0.13019,0.5625,0.34218,0.13149,1.74396,3.51734,2.11274,0.00118194,0.00118194,0.00118194
